"Name","RA_Hours","Dec_Degrees","pm_ra","pm_dec","Visual Magnitude"
"NGC 3031 (Messier 81 - Bode's Galaxy - G-S - Messier M81)","9.925881","69.065295","0.3","-0.1","6.9"
"NGC 3034 (Messier 82 - Cigar Galaxy - G-Ir - Messier M82)","9.931231","69.679703","0","0","8.4"
"NGC 3077 (Galaxy - G-Ir - NGC 3077)","10.055305","68.733766","0","0","9.9"
"NGC 3079 (Galaxy - G-S - NGC 3079)","10.032744","55.679847","0","0","10.7"
"NGC 3109 (Galaxy - G-Ir - NGC 3109)","10.051910","-26.159572","0","0","10.5"
"NGC 3114 (Open Cluster - OC - NGC 3114)","10.045000","-60.115000","0","0","4.2"
"NGC 3115 (Spindle Galaxy - G-E - Caldwell C53)","10.087202","-7.718606","0","0","7.3"
"NGC 3132 (Eight-Burst Nebula - PN - Caldwell C74)","10.125000","-40.437000","0","0","8.2"
"NGC 3147 (Galaxy - G-S - NGC 3147)","10.281566","73.400734","2.0","2.8","11.9"
"NGC 3166 (Galaxy - G-S - NGC 3166)","10.225000","3.415000","0","0","10.6"
"NGC 3169 (Galaxy - G-S - NGC 3169)","10.235000","3.465000","0","0","10.9"
"NGC 3184 (Little Pinwheel - G-S - NGC 3184)","10.304718","41.424381","0","0","9.8"
"NGC 3198 (Galaxy - G-S - NGC 3198)","10.331942","45.549689","0","0","10.4"
"NGC 3201 (Globular Cluster - GC - NGC 3201)","10.291000","-46.415000","0","0","8.2"
"NGC 3226 (Galaxy - G-E - NGC 3226)","10.390835","19.898521","0.7","0.3","13.0"
"NGC 3227 (Galaxy - G-S - NGC 3227)","10.391827","19.865078","0.2","-0.4","11.7"
"NGC 3242 (Ghost of Jupiter - PN - Caldwell C59)","10.412815","-18.642305","-4.6","0.8","5.2"
"NGC 3245 (Galaxy - G-S - NGC 3245)","10.455107","28.507395","0","0","10.8"
"NGC 3277 (Galaxy - G-S - NGC 3277)","10.551000","28.515000","0","0","11.7"
"NGC 3293 (Gem Cluster - OC - NGC 3293)","10.595000","-58.231000","0","0","4.7"
"NGC 3310 (Galaxy - G-S - NGC 3310)","10.646071","53.503304","0","0","11.6"
"NGC 3311 (Galaxy - G-E - NGC 3311)","10.611895","-27.528339","0","0","11.3"
"NGC 3314 (Overlapping Galaxies - G-Ir - NGC 3314)","10.620256","-27.683989","-1.0","3.4"
"NGC 3344 (Galaxy - G-S - NGC 3344)","10.725319","24.922219","0","0","10.0"
"NGC 3351 (Messier 95 - G-S - Messier M95)","10.732703","11.703695","0","0","9.7"
"NGC 3359 (Galaxy - G-S - NGC 3359)","10.776901","63.223639","0","0","10.6"
"NGC 3368 (Messier 96 - G-S - Messier M96)","10.779373","11.819939","0","0","9.2"
